Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Hopewell Culture,National Historical Park,"Nearly 2000 years ago, American Indians built dozens of monumental mounds and earthen enclosures in southern Ohio. These earthwork complexes were ceremonial landscapes used for feasts, funerals, rituals, and rites of passage associated with an American Indian religious movement that swept over half the continent for almost 400 years. Come walk among the earthworks and experience the past.",16062 State Route 104,,,Chillicothe,OH,45601,740 774-1125
James A Garfield,National Historic Site,"A front porch can serve many purposes. For some, it is a place to enjoy the breeze on a warm summer night. For others, a perch from which to keep eyes on what's happening in their neighborhood. In 1880, James Garfield used his front porch as a platform to greet thousands of well-wishers during his presidential campaign. Today, the porch serves as a gateway to the story of the Garfield family.",8095 Mentor Avenue,,,Mentor,OH,44060,440 255-8722
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
North Country,National Scenic Trail,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.","318 East Main Street, Suite K",,,Lowell,MI,49331,616 319-7906
Perry's Victory & International Peace,Memorial,"Perry's Victory and International Peace Memorial was established to honor those who fought in the Battle of Lake Erie, during the War of 1812, and to celebrate the long-lasting peace among Great Britain, Canada and the U.S. The Memorial, a Doric column, rising 352 feet over Lake Erie is situated 5 miles from the longest undefended border in the world.",PO Box 549,,,Put-in-Bay,OH,43456,419 285-2184
William Howard Taft,National Historic Site,"High atop one of Cincinnati's most prominent hilltops stands the two-story Greek Revival house where William Howard Taft was born and grew up. Hard work, a good education, and an interest in civic duty are attributes that made the Taft family outstanding leaders over the years. The environment that shaped Taft's character and philosophy  is highlighted  on a visit to the site.",2038 Auburn Avenue,,,Cincinnati,OH,45219,513 684-3262
Chickasaw,National Recreation Area,"Springs, streams, lakes - whatever its form, water is the attraction at Chickasaw National Recreation Area.",901 W. 1st Street,,,Sulphur,OK,73086,580 622-7234
Fort Smith,National Historic Site,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them.
From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.",301 Parker Ave,,,Fort Smith,AR,72901,479 783-3961
Oklahoma City,National Memorial,"The outdoor symbolic memorial is a place of quiet reflection, honoring victims, survivors, rescuers, and all who were changed forever on April 19, 1995. It encompasses the now sacred soil where the Alfred P. Murrah Federal Building once stood, capturing and preserving forever the place and events that changed the world.",Oklahoma City National Memorial,"301 NW 6th Street, Suite 305",,Oklahoma City,OK,73102-0676,405 609-8859
Santa Fe,National Historic Trail,"You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you!",National Trails Office Regions 6|7|8,Santa Fe National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Washita Battlefield,National Historic Site,"On November 27, 1868, Lt. Colonel George Armstrong Custer led the 7th US Cavalry on a surprise dawn attack on a Cheyenne village led by Peace Chief Black Kettle. The event was an example of the tragic clash of cultures that occurred during the Great Plains Wars. It is also a place of remembrance and reflection for those who died here.","18555 Hwy 47A, Ste. A",,,Cheyenne,OK,73628,580 497-2742
California,National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Crater Lake,National Park,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity: fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range.",Crater Lake National Park,PO Box 7,,Crater Lake,OR,97604,541 594-3000
Fort Vancouver,National Historic Site,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.","800 Hatheway Road, Bldg 722",,,Vancouver,WA,98661,360 816-6230
Ice Age Floods,National Geologic Trail,"At the end of the last Ice Age, 18,000 to 15,000 years ago, an ice dam in northern Idaho created Glacial Lake Missoula stretching 3,000 square miles around Missoula, Montana. The dam burst and released flood waters across Washington, down the Columbia River into Oregon before reaching the Pacific Ocean. The Ice Age Floods forever changed the lives and landscape of the Pacific Northwest.",Program Manager,Ice Age Floods National Geologic Trail,1008 Crest Drive,Coulee Dam,WA,99116,(509) 237-9722
